Numero,Voie,Code_Postal,Ville,Latitude,Longitude,Distance_Centre_m,PJ_Titre,PJ_Telephone,BDNB_Annee,BDNB_DPE,Entreprise_Nom,Entreprise_Categorie,Entreprise_Telephones,Entreprise_Emails,Entreprise_Sites,SIREN,SIRET,NAF,Proprietaire_Nom,Proprietaire_Role,Surface_Toiture_m2,Surface_Parking_m2,Annee_Construction_OSM
25,Chemin du Vieux Chêne,38240,Meylan,45.208637,5.791216,502,"Auto 4M Meylan - Garage automobile (adresse, horaires, avis)",04 76 90 61 83,2009,,Auto 4M,,,,,835081449,,45.20A,THIERRY MATENCIO (MATENCIO),Président de SAS,10916.2,6052.8,2022
29,Chemin du Vieux Chêne,38240,Meylan,45.209088,5.793513,599,"Supernova Meylan - Bureau d'études (adresse, horaires)",06 84 97 26 47,,,Piksel france,,,,,449048701,,61.90Z,RODNEY SAMPSON,Président de SAS,5864.5,15780.7,
31,Chemin du Vieux Chêne,38240,Meylan,45.209088,5.793493,598,"Piksel france Meylan - Création de site internet (adresse, horaires)",04 58 00 36 90,,,Piksel france,,,,,449048701,,61.90Z,RODNEY SAMPSON,Président de SAS,5864.5,15780.7,
2,Place des Tuileaux,38240,Meylan,45.211581,5.786255,102,"La Petite Cantine Meylan - Restauration rapide (adresse, horaires, ouvert le dimanche)",04 76 00 08 16,,C,La Petite Cantine,,,,,,,,,,16480.0,7714.4,
8,Place des Tuileaux,38240,Meylan,45.211953,5.785968,103,"Optique des Béalières Meylan - Opticien (adresse, horaires, avis)",09 87 55 44 40,,C,Optique des Béalières,,,,,841564198,,47.78A,MARIE BOUTE (BOUTE),Gérant,19350.4,5899.6,
12,Place des Tuileaux,38240,Meylan,45.211997,5.786403,69,"Angkor Meylan - Restaurant (adresse, horaires)",04 76 90 04 71,,C,Angkor,amenity=restaurant,+33476900471,,,829670694,,56.10A,BONA HENG (HENG),Président de SAS,18115.0,5620.0,
4,Avenue du Granier,38240,Meylan,45.209858,5.780333,600,"Espace Musical G Baudry Meylan - Cours de musique, cours de chant (adresse, horaires)",04 76 90 62 02,,,Espace Musical G Baudry,,,,,,,,,,12147.0,8798.2,
7,Avenue du Granier,38240,Meylan,45.209528,5.780646,595,"Bellet & Behr SAS Meylan - Huissiers de justice (adresse, horaires)",04 58 00 12 02,1985,,Bellet & Behr SAS,,,,,,,,,,11544.1,9485.9,
8,Avenue du Granier,38240,Meylan,45.21041,5.78378,335,"Catherine Girard Meylan - Psychologue (adresse, horaires)",06 16 87 29 05,,,Catherine Girard,,,,,442866547,,86.90E,CATHERINE GIRARD,,16562.7,11085.2,
12,Avenue du Granier,38240,Meylan,45.211695,5.788926,142,"Archives Municipales Meylan (adresse, horaires)",04 76 41 16 25,,,Archives Municipales,office=government,+33476411625,archives-municipales@meylan.fr,https://www.meylan.fr/63-les-archives.htm,,,,,,16055.4,7692.1,
15,Avenue du Granier,38240,Meylan,45.209654,5.783088,430,"VERISURE Meylan - Systèmes d'alarme (adresse, horaires, avis)",,,,VERISURE,,,,,345006027,,80.20Z,OLIVIER ALLENDER,Président de SAS,16360.2,10207.7,
17,Avenue du Granier,38240,Meylan,45.209428,5.783114,445,"Cotranet Meylan - Maintenance et services informatique (adresse, horaires)",04 76 04 00 90,,,Cotranet,,,,,894302488,,58.29C,,,17419.5,10222.8,
19,Avenue du Granier,38240,Meylan,45.209316,5.783429,436,"3A Audit & Finances - Expert comptable à Meylan 38240 (adresse, horaires)",04 76 00 75 75,,,3A Audit & Finances,,,,,494972284,,69.20Z,SANDRA RUFFINATTO,Gérant,18470.4,11870.6,
25,Avenue du Granier,38240,Meylan,45.210007,5.784234,337,"ETC Group Meylan - Formation professionnelle (adresse, horaires)",04 76 59 19 80,2008,,ETC Group,,,,,,,,,,23139.4,12897.8,
27,Avenue du Granier,38240,Meylan,45.209457,5.784555,368,"JKD Peinture Meylan - Entreprise de peinture (adresse, horaires)",07 82 98 89 27,2018,C,JKD Peinture,,,,,,,,,,25645.4,14025.5,
31,Avenue du Granier,38240,Meylan,45.210275,5.785215,264,"Marion maquillage permanent Meylan - Institut de beauté (adresse, horaires)",06 86 21 13 99,2021,,Marion maquillage permanent,,,,,,,,,,25602.9,13357.0,
35,Avenue du Granier,38240,Meylan,45.210076,5.785148,285,"Le Square Meylan - Restaurant (adresse, horaires, avis)",04 76 90 43 61,1990,,Le Square,amenity=restaurant,+33476904361,contact@le-square-restaurant.fr,,378336143,,68.31Z,ERIC LEBRAT,Président de SAS,24801.0,12716.4,
37,Avenue du Granier,38240,Meylan,45.210423,5.786068,216,"Jean Breuneval Meylan - Chirurgien-dentiste, orthodontiste (adresse, horaires)",04 76 18 56 11,1991,,Jean Breuneval,,,,,434048922,,68.20A,JEAN BREUNEVAL,,26852.2,12852.1,
1,Taillefer,38240,Meylan,45.214912,5.782477,482,"Lycée polyvalent du Grésivaudan Meylan (adresse, horaires)",04 76 90 30 53,2000,,Lycée polyvalent du Grésivaudan,,,,,193828639,,85.31Z,,,5196.3,3468.5,
16,Chemin de Bérivière,38240,Meylan,45.214227,5.784795,298,"Créche Tamiers Meylan - Crèche (adresse, horaires)",04 76 41 87 01,1988,D,Créche Tamiers,,,,,491700431,,86.90F,MAITE GASPARI (GASPARI),,17515.8,3341.3,
18,Chemin de Bérivière,38240,Meylan,45.214247,5.785059,287,"Clean Services Meylan - Entreprises de nettoyage (adresse, horaires)",07 83 77 77 92,1988,D,Clean Services,,,,,912778362,,81.21Z,SOULEIMAN BOUALITA (BOUALITA),Président de SAS,18525.3,3566.3,
40,Chemin de Bérivière,38240,Meylan,45.212452,5.786232,85,"Crèche de Bérivière Meylan - Crèche (adresse, horaires)",04 76 61 90 76,,,Crèche de Bérivière,,,,,491700431,,86.90F,MAITE GASPARI (GASPARI),,18934.0,6781.9,
12,Chemin des Clos,38240,Meylan,45.209214,5.788744,350,"ASSOCIATION MULTISPORTS DE MEYLAN AMM - Association culturelle (adresse, horaires)",,,,ASSOCIATION MULTISPORTS DE MEYLAN AMM,,,,,,,,,,28345.3,13907.8,2022
14,Chemin des Clos,38240,Meylan,45.20909,5.788909,367,"Accretech Europe Meylan - Matériel d'électronique (adresse, horaires)",04 76 04 40 80,2017,,Accretech Europe,,,,,429780075,,46.52Z,WOLFGANG BONATZ,Personne ayant le pouvoir d'engager à titre habituel la société,28499.4,13907.8,2022
3,Rue des Tisserands,38240,Meylan,45.210837,5.784516,260,"Sarah Laporte-Daube Meylan - Psychothérapie (adresse, horaires)",06 26 42 20 91,,D,Sarah Laporte-Daube,,,,,492325501,,86.90F,SARAH LAPORTE-DAUBE,,16505.5,10103.0,
4,Rue des Tisserands,38240,Meylan,45.211127,5.78493,216,"Martinez Jocelyne Meylan - Dressage d'animaux (adresse, horaires)",06 74 08 37 44,1986,C,Martinez Jocelyne,,,,,342339793,,96.09Z,JOCELYNE MARTINEZ (HAIRION),,12871.7,8193.0,
7,Rue des Tisserands,38240,Meylan,45.211409,5.784387,240,"Alpes Air Controle Et Entretien Meylan - Traitement de surfaces (adresse, horaires)",06 83 83 17 18,,D,Alpes Air Controle Et Entretien,,,,,813294469,,81.22Z,YANN LE GAC (LE GAC),Président de SAS,12185.9,5933.4,
11,Rue des Tisserands,38240,Meylan,45.211551,5.784014,262,"Millie Sébastien Meylan - Bois de chauffage (adresse, horaires, avis)",06 47 83 63 24,,D,Millie Sébastien,,,,,,,,,,10866.6,3097.8,
2,Le Routoir,38240,Meylan,45.212418,5.788457,99,"Ecole maternelle Les Béalières Meylan (adresse, horaires)",04 76 41 08 05,,,Ecole maternelle Les Béalières,,,,,,,,,,17245.4,4439.3,
3,Le Routoir,38240,Meylan,45.212222,5.787442,16,"Claire Blanc Meylan - Infirmiers, cabinet et soins à domicile (adresse, horaires, ouvert le dimanche)",06 86 37 06 13,1984,D,Claire Blanc,,,,,884197518,,86.90D,CLAIRE BLANC (SOLLE),,16711.8,5189.5,
4,Le Routoir,38240,Meylan,45.212693,5.78958,192,Failliet Emmanuel Meylan - Transport routier (adresse),09 80 63 92 86,1984,,Failliet Emmanuel,,,,,410834154,,49.41A,EMMANUEL FAILLIET,Gérant,21777.7,1384.6,
7,Le Routoir,38240,Meylan,45.212572,5.788719,124,"Restaurant Scolaire Béalières Meylan - Restaurant d'entreprise (adresse, horaires)",04 76 41 09 05,,,Restaurant Scolaire Béalières,,,,,,,,,,18871.6,4341.3,
10,Le Routoir,38240,Meylan,45.212805,5.79022,243,"Bibliothèque Des Béalières Meylan - Bibliothèques, médiathèques (adresse, horaires)",04 76 90 79 60,1984,D,Bibliothèque Des Béalières,,,,,,,,,,21070.6,4368.4,
13,Le Routoir,38240,Meylan,45.212838,5.789684,205,"Mouney Le Ferrailleur Meylan - Traitement déchets fers, métaux (adresse, horaires, avis, ouvert le dimanche)",06 95 85 98 71,1984,C,Mouney Le Ferrailleur,,,,,,,,,,18001.9,1155.7,
16,Le Routoir,38240,Meylan,45.213087,5.791318,335,"Cheminot Eric Meylan - Maintenance et services informatique (adresse, horaires)",06 31 84 82 87,1984,D,Cheminot Eric,,,,,514268200,,62.02A,ERIC CHEMINOT,,24003.1,5090.7,
2,Rue des Lavandières,38240,Meylan,45.212299,5.786928,28,"Catherine Cinti Meylan - Podologue, Pédicure (adresse, horaires)",04 76 41 04 79,1984,D,Catherine Cinti,,,,,341537223,,86.90E,CATHERINE BONNET (CINTI),,19579.4,6043.4,
2,Chemin des Prêles,38240,Meylan,45.207847,5.785331,504,"Tempologis Meylan - Résidence de tourisme (adresse, horaires)",,,,Tempologis,,+33160871200,tempologis@tempologis.com,http://www.tempologis.com,934122151,,55.10Z,PASCAL REBOH,Président de SAS,27981.9,16493.0,
4,Chemin des Prêles,38240,Meylan,45.208129,5.785184,478,"R.T.P. Peinture Meylan - Entreprise de peinture (adresse, horaires, avis)",07 63 36 06 20,2003,,R.T.P. Peinture,,,,,789544723,,43.34Z,AMMAN MADANI (MADANI),,26242.1,15762.4,
10,Chemin des Prêles,38240,Meylan,45.208899,5.784726,414,"Crèche Meylan - people & baby Kid's Coocoon et Kid's Heaven - Crèche (adresse, horaires)",04 82 79 06 12,,,Crèche,,,,,491700431,,86.90F,MAITE GASPARI (GASPARI),,24935.7,18001.0,
9,Impasse des Verdiers,38240,Meylan,45.210682,5.782345,418,"ASSO COMMUNE CHASSE AGREEE ENTRAIGUES Meylan - Clubs, territoire de chasse (adresse, horaires)",,1989,,ASSO COMMUNE CHASSE AGREEE ENTRAIGUES,,,,,,,,,,10293.9,6251.9,
11,Impasse des Verdiers,38240,Meylan,45.210739,5.782317,418,,,,,ASSO COMMUNE CHASSE AGREEE ENTRAIGUES,,,,,,,,,,10293.9,6251.9,
7,Chemin des Béalières,38240,Meylan,45.210884,5.789948,256,,,,,Immobiliere Berlioz,,,,,852893627,,68.32A,PIERRE BEAL,Gérant,13827.7,8491.5,
11,Chemin des Béalières,38240,Meylan,45.210904,5.790495,291,,,,,Genome Express,,,,,,,,,,15786.6,8220.8,
19,Chemin des Béalières,38240,Meylan,45.210883,5.791257,346,,,,,B.Production,,,,,,,,,,13411.3,11225.9,
21,Chemin des Béalières,38240,Meylan,45.210917,5.790943,322,,,,,Roseau Technologies,,,,,843752437,,58.29C,FLORENT CADOUX,Président de SAS,14644.0,8322.9,
23,Chemin des Béalières,38240,Meylan,45.211181,5.791197,329,,,,,Oros SAS,,,,,,,,,,12539.8,7417.6,
40,Chemin des Béalières,38240,Meylan,45.212452,5.786232,85,,,,,Crèche de Bérivière,,,,,491700431,,86.90F,MAITE GASPARI (GASPARI),,18934.0,6781.9,
7,Chemin des Prés,38240,Meylan,45.210884,5.789948,256,"Immobiliere Berlioz Meylan - Agence immobilière (adresse, horaires, avis)",04 58 17 32 20,1990,,Immobiliere Berlioz,,,,,852893627,,68.32A,PIERRE BEAL,Gérant,13827.7,8491.5,
11,Chemin des Prés,38240,Meylan,45.210904,5.790495,291,"Genome Express Meylan - Police scientifique (adresse, horaires)",04 56 38 11 29,,,Genome Express,,,,,,,,,,15786.6,8220.8,
19,Chemin des Prés,38240,Meylan,45.210883,5.791257,346,"B.Production Meylan - Production audiovisuelle (adresse, horaires)",06 51 97 61 35,2013,,B.Production,,,,,,,,,,13411.3,11225.9,
21,Chemin des Prés,38240,Meylan,45.210917,5.790943,322,"Roseau Technologies Meylan - Editeurs de logiciels (adresse, horaires)",06 45 28 20 66,2013,,Roseau Technologies,,,,,843752437,,58.29C,FLORENT CADOUX,Président de SAS,14644.0,8322.9,
23,Chemin des Prés,38240,Meylan,45.211181,5.791197,329,"Oros SAS Meylan - Acoustique industrielle (adresse, horaires)",04 76 90 53 26,,,Oros SAS,,,,,,,,,,12539.8,7417.6,
2,Passage du Père Cohard,38240,Meylan,45.212754,5.786867,71,"Halte Garderie des Béalières Meylan - Garde d'enfants (adresse, horaires)",04 76 90 51 61,1984,C,Halte Garderie des Béalières,,,,,,,,,,21311.6,6580.8,
7,Chemin de la Trière,38240,Meylan,45.208525,5.782799,535,"Fabienne Mathelet Meylan - Hypnothérapie (adresse, horaires)",06 25 89 14 44,1947,,Fabienne Mathelet,,,,,435235619,,47.73Z,FABIENNE MATHELET,Liquidateur,17133.4,12459.7,
1,Allée des Eyminées,38240,Meylan,45.206335,5.780115,857,"Coup De Theatre Meylan - Association culturelle (adresse, horaires)",,1976,D,Coup De Theatre,,,,,499553857,,94.99Z,,,14935.0,9567.5,
3,Allée des Eyminées,38240,Meylan,45.206411,5.779837,865,Thomas Meot Meylan - Designer (adresse),04 76 41 38 30,1976,D,Thomas Meot,,,,,814537254,,74.10Z,THOMAS MEOT,,14874.4,9243.8,
5,Allée des Eyminées,38240,Meylan,45.206503,5.779698,864,Dalmonte Meylan - Climatisation (adresse),04 76 90 61 62,1976,D,Dalmonte,,,,,403261712,,43.22B,PIERRE DALMONTE (DALMONTE),Gérant,13557.5,8453.2,
11,Allée des Eyminées,38240,Meylan,45.206082,5.777556,1017,"Cassila Gina Meylan - Cours de musique, cours de chant (adresse, horaires, avis)",06 74 56 16 73,1976,D,Cassila Gina,,,,,820286433,,85.52Z,GINA CASSILA,,16701.9,2385.1,
1,Chemin du pré carré,38240,Meylan,45.207592,5.781596,675,"ANSEMBLE ECA Meylan - Expertise comptable (adresse, horaires)",04 76 04 15 40,1990,,Dolphin Semiconductor,,,,,932368764,,26.11Z,PIERRE GARNIER,Président de SAS,15912.3,11231.3,
3,Chemin du pré carré,38240,Meylan,45.207903,5.781967,630,"Oriel Meylan - Avocats (adresse, horaires)",04 85 58 06 54,,,Oriel,,,,,804701019,,69.10Z,RICHARD KLIEMAN,Gérant,15988.8,13180.0,
8,Chemin du pré carré,38240,Meylan,45.208002,5.782018,619,"Alexie Suriano Meylan - Psychologue (prendre rendez-vous, adresse, horaires, avis)",07 49 36 22 04,,,Alexie Suriano,,,,,880383955,,86.90F,ALEXIE SURIANO,,17344.7,11679.8,
1,Chemin du Pré Carré,38240,Meylan,45.207592,5.781596,675,"Dolphin Semiconductor Meylan - Matériel d'électronique (adresse, horaires)",04 76 41 10 96,1990,,Dolphin Semiconductor,,,,,932368764,,26.11Z,PIERRE GARNIER,Président de SAS,15912.3,11231.3,
3,Chemin du Pré Carré,38240,Meylan,45.207903,5.781967,630,"Oriel Meylan - Avocats (adresse, horaires)",04 85 58 06 54,,,Oriel,,,,,804701019,,69.10Z,RICHARD KLIEMAN,Gérant,15988.8,13180.0,
8,Chemin du Pré Carré,38240,Meylan,45.208002,5.782018,619,"Alexie Suriano Meylan - Psychologue (prendre rendez-vous, adresse, horaires, avis)",07 49 36 22 04,,,Alexie Suriano,,,,,880383955,,86.90F,ALEXIE SURIANO,,17344.7,11679.8,
3,Allée de la Piat,38240,Meylan,45.212544,5.778367,697,,,,,Efit Coaching Yan Contel,,,,,,,,,,8891.1,1356.7,
5,Allée de la Piat,38240,Meylan,45.212498,5.778352,698,"Efit Coaching Yan Contel Meylan - Produits diététiques (adresse, horaires)",06 89 64 70 81,1976,C,Efit Coaching Yan Contel,,,,,,,,,,8891.1,1356.7,
15,Allée de la Piat,38240,Meylan,45.210583,5.777317,798,"Agduc Meylan - Hôpital (adresse, horaires)",04 76 41 02 70,,,Agduc,,,,,302701040,,86.10Z,,,9531.9,9049.8,
55,Maison de la Musique,38240,Meylan,45.20542,5.780951,898,,,,,RG Clim',,,,,892603945,,43.22B,MICHAEL CAMMARATA (CAMMARATA),Président de SAS,10263.8,6316.8,
57,Maison de la Musique,38240,Meylan,45.205349,5.781205,894,,,,,Bellot Rémi,,,,,,,,,,11987.4,6316.8,
58,Maison de la Musique,38240,Meylan,45.206916,5.780444,791,,,,,Galiano Julien Quali-Travaux,,,,,,,,,,16319.9,9430.8,
60,Maison de la Musique,38240,Meylan,45.205775,5.780737,875,,,,,Editions Correspondances,,,,,382244887,,58.19Z,MARC GIANINAZ,Gérant,12043.0,7693.5,
1,Granier,38240,Meylan,45.209451,5.780226,628,"Gendarmerie Nationale Meylan (adresse, horaires)",04 38 37 47 70,,,Gendarmerie Nationale,,,,,,,,,,13047.6,9277.5,
3,Avenue du Vercors,38240,Meylan,45.208302,5.778617,801,"Vincent Coquard Meylan - Masseur kinésithérapeute (adresse, horaires)",04 76 24 05 64,1971,D,Vincent Coquard,,,,,310395504,,86.90E,VINCENT COQUARD,,10633.4,12039.2,
5,Avenue du Vercors,38240,Meylan,45.208748,5.77825,801,"Marie Ruer Meylan - Kinésiologue (adresse, horaires)",07 86 70 84 83,1971,D,Marie Ruer,,,,,,,,,,11385.0,12032.1,
7,Avenue du Vercors,38240,Meylan,,,,"Codandamourty Maguendra Meylan - Masseur kinésithérapeute (adresse, horaires)",04 76 41 07 19,1971,D,,,,,,,,,,,,,
13,Avenue du Vercors,38240,Meylan,45.208583,5.77607,962,"Nicolas Hui-Bon-Hoa Meylan - Ostéopathe (adresse, horaires)",06 44 01 05 78,1971,C,Nicolas Hui-Bon-Hoa,,,,,809405277,,86.90E,NICOLAS HUI-BON-HOA,,10299.1,10254.4,
